screen_name,text,created_at,source,user_source,hour,with_photo,with_url,media,hashtag,raw_text,scores,compound,sentiment
KingJames,We must be heard!!!.  Thank you @lyft for supporting our fight against voter suppression.  @morethanavote #BlackLivesMatter 🙏🏾👑 https://t.co/NerFIjNF2H,2020-10-07 15:06:39+00:00,iPhone,KingJames | iPhone,15,No,Yes,without Image/URL,1,We must be heard Thank you @lyft for supporting our fight against voter suppression @morethanavote #BlackLivesMatter ,"{'neg': 0.109, 'neu': 0.628, 'pos': 0.263, 'compound': 0.5684}",0.5684,positive
KingJames,❤️❤️❤️❤️❤️❤️❤️🙏🏾👑 #IPromise *pinky swear https://t.co/Y5K1iyIJ5p,2020-10-07 14:11:49+00:00,iPhone,KingJames | iPhone,14,No,Yes,without Image/URL,1, #IPromise pinky swear ,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.0516}",-0.0516,negative
KingJames,#IPromise #WeChampion 🙏🏾👑 https://t.co/kcCOV5o470,2020-10-07 14:11:00+00:00,iPhone,KingJames | iPhone,14,No,Yes,without Image/URL,2,#IPromise #WeChampion ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,https://t.co/It8td4AbIY,2020-10-07 10:30:30+00:00,iPhone,KingJames | iPhone,10,Yes,Yes,with Image/URL,0,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,OBJ!!!!!!!!!!!!!!! @obj bro bro! Let’s GO!!!! #Browns,2020-10-04 20:06:17+00:00,iPhone,KingJames | iPhone,20,No,No,without Image/URL,1,OBJ @obj bro bro Let s GO #Browns,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,Hunt so TOUGH!!! 😤😤,2020-10-04 17:59:48+00:00,iPhone,KingJames | iPhone,17,No,No,without Image/URL,0,Hunt so TOUGH ,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5271}",-0.5271,negative
KingJames,Sheesh!! Helluva pass by Dak!! My goodness,2020-10-04 17:35:46+00:00,iPhone,KingJames | iPhone,17,No,No,without Image/URL,0,Sheesh Helluva pass by Dak My goodness,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.6331}",0.6331,positive
KingJames,WOW!!!! @God_Son80 to @obj for TD. Let’s go!! #GoBrowns,2020-10-04 17:10:18+00:00,iPhone,KingJames | iPhone,17,No,No,without Image/URL,1,WOW @God Son80 to @obj for TD Let s go #GoBrowns,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,"When your vision is crystal clear, they say it’s razor-sharp/ A focused mind is said to be like a knife, but the scalpel is wisdom/ All one can do us accept that life is a double-edged sword. STAY ON THE EDGE!!!!",2020-10-04 02:16:33+00:00,iPhone,KingJames | iPhone,2,No,No,without Image/URL,0,When your vision is crystal clear they say it s razor sharp A focused mind is said to be like a knife but the scalpel is wisdom All one can do us accept that life is a double edged sword STAY ON THE EDGE ,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.8562}",0.8562,positive
KingJames,Mind Still in Sprint Mode! 🔒. Won’t let me sleep. Love it! Wouldn’t want it any other way right now,2020-10-03 13:25:33+00:00,iPhone,KingJames | iPhone,13,No,No,without Image/URL,0,Mind Still in Sprint Mode Won t let me sleep Love it Wouldn t want it any other way right now,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7256}",0.7256,positive
