annotate1,annotate2,tweet
Positive,Positive,#IPromise #WeChampion 🙏🏾👑 https://t.co/kcCOV5o470
Positive,Positive,To my brothers and sisters in sports and arts. We have incredible influence in our community. We need to use this moment to demand change. I gotta be honest…I struggle with what to demand because so damn much needs to change. But I’m starting with our right to vote.
Neutral,Negative,OBJ!!!!!!!!!!!!!!! @obj bro bro! Let’s GO!!!! #Browns
Positive,Positive,Hunt so TOUGH!!! 😤😤
Positive,Positive,Sheesh!! Helluva pass by Dak!! My goodness
Positive,Positive,WOW!!!! @God_Son80 to @obj for TD. Let’s go!! #GoBrowns
Positive,Neutral,"When your vision is crystal clear, they say it’s razor-sharp/ A focused mind is said to be like a knife, but the scalpel is wisdom/ All one can do us accept that life is a double-edged sword."
Positive,Neutral,STAY ON THE EDGE!!!!
Positive,Positive,Mind Still in Sprint Mode! 🔒. Won’t let me sleep. Love it! Wouldn’t want it any other way right now
Negative,Neutral,Why am I up!!!!!!!!!!! 😤😤😤😤😤🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️
Neutral,Positive,JEUDY!!!!!! Moss’d
Neutral,Positive,@PatrickMahomes Facts bro! Tough
Positive,Positive,Helluva run by Darnold! The juke move once he got out the pocket was a RB elite move
Positive,Positive,We see you Mr President.  Thank you!!! @Morethanavote #Blacklivesmatter https://t.co/4qqpVDgcto
Neutral,Neutral,JUST SAY HER NAME https://t.co/NG6YO5TVSX
Neutral,Positive,@AstronautKI I think that sounds about right! 🤷🏾‍♂️
Positive,Positive,My guy showed up like Prince Akeem when he came to America!! Love to see it!  @DeionSanders 🐐! https://t.co/RJgDVkByoZ
Neutral,Neutral,@CuffsTheLegend https://t.co/wGXg54IbaZ
Positive,Positive,HE DIFFERENT!!!! @AntDavis23 You Silly!! 🤣🤣🤣🤣🤣 https://t.co/w7WrjAre2Z
Neutral,Negative,Just waking back up from my pregame nap to see about The Washington Football team??? 🤣🤣🤣🤣🤣🤣. Is that real?? No way! Oh man they had a thorough intense long board meeting about that one huh. 🥴🤦🏾‍♂️
Positive,Negative,So so so so SORRY Breonna! #JusticeforBreonnaTalyor🙏🏾❤️ https://t.co/6IaaqIKD0u
Neutral,Negative,Just left the crib to head to the bubble. Shit felt like I’m headed to do a bid man! Fr. Hated to leave the #JamesGang👑.
Positive,Negative,@J1Flight 🤣🤣🤣🤣🤣🤣🤣🤣!!! “Take yo ass to sleep”
Positive,Negative,"Black ppl have been dehumanized, brutalized, criminalized + terrorized by America for centuries, &amp; are expected to join your commemoration of “independence”, while you enslaved our ancestors. We reject your celebration of white supremacy &amp; look forward to liberation for all. ✊🏾 https://t.co/YCD2SYlgv4"
Positive,Negative,Big news today!! 🙏🏽 @thespringhillco https://t.co/wyhLNDYKzX
Neutral,Neutral,FACTS!!!!! No question about it. 🤦🏾‍♂️ https://t.co/gTlC5J14gC
Positive,Neutral,"Heads up university students and their parents, @Keir_Starmer would like a chat &gt;&gt; https://t.co/ctHxU7ibF8"
Postive,Positive,Biggest honour of my life tonight. Elected as the Leader of Wirral Council. First woman leader on Liverpool City Region. Just humbled beyond belief 💪💪❤❤
Neutral,Neutral,"This evening, at the annual meeting of the Council, Cllr Janette Williamson was voted in as leader of Wirral Council. Cllr Anita Leech has also been voted in as Deputy Leader."
Positive,Positive,"So proud of you @CaoimheSport - @LFC and @TheAthletic are so lucky. You are a ground-breaker, a glass ceiling-smasher, and all round great writer. #WomenInSport #womeninfootball"
Positive,Negative,"@RoseAndCrownBeb It's ridiculous. I have raised it with Labour's shadow leader of the house who leads on these things for us. Personally I think we need to go back to online voting as it is safer, more inclusive- and - means no one needs to hang around."
Positive,Neutral,"@Alanrichardjef4 Hi Alan, thanks for making me aware of the website problems. I have not left New Ferry. We have moved from 99 New Chester Road to 77 New Chester Road. Please do send me an email with your details and I would be pleased to call you."
Positive,Neutral,My letter to the Secretary of State for Education calling for mass testing at universities so students can travel safely home for Christmas https://t.co/DEWzogn12z
Neutral,Positive,Happy birthday @HackneyAbbott 🎂 https://t.co/Wm9ZKJwI6S
Negative,Neutral,Be emotional. Anyone without emotional intelligence should not leading anything. https://t.co/wVAyIrN9cV
Neutral,Neutral,The National League has published this update following today's Board meeting... https://t.co/AtECsBDF7C
Neutral,Neutral,Good grief. https://t.co/MlcEurwZli
Positive,Neutral,"@Alison_McGovern Also as a point of clarification in DCMS orals -  an estimated 1/3 of leisure centres remain closed. The 100+ org letter from the sport and physical activity leadership this week is about support for the whole sector and not just one, albeit important, element."
Negative,Negative,Wait. Did the Sport minister just say he had just written to clubs to 'begin' talks about potential financial collapse? We have known about this coming crisis for months. What have they been doing? #dcms #houseofcommons
Neutral,Negative,"I'd like to see the algorithm. I'd like to see the testing @Twitter say they did to check it wasn't biased. I'd like to know what redress those discriminated against have. But w a Govt that won't address #onlineharms &amp; refuses to regulate, there's nothing I can do #incompetence https://t.co/ArFgVv08RP"
Neutral,Neutral,Tributes paid following death of 'Mr Wirral Rugby Club' https://t.co/MW7PLmxdGt https://t.co/C77No7yU8Q
Negative,Negative,"Misogyny is the root cause of multiple forms of abuse, violence and intimidation that can damage all aspects of women's lives... and it is now one step closer to being classified as a hate crime. https://t.co/aRzMWUAQnr"
Neutral,Neutral,'Exact same benefits' https://t.co/dpW1EIzpUp
Negative,Negative,"Serco, Deloitte, G4S, Sodexo, Randox, other companies and Tory chumocracy peer Dido Harding are trashing the NHS brand. The “NHS Track and Trace” system is ruined by profit-hungry operators when unfairly maligned Public Health England and local authorities now do a better job"
Positive,Positive,"Well done to fans of @SelbyTown_FC, sponsors and women’s rights campaigners for standing together against this. Here’s to a future where we don’t have to. @Wecantconsentto @AlexofBrown https://t.co/lhkqiW1baA"
